# omegac[0.200,0.700] sigma8[0.500,1.600]
4.463954260937155194e-01 9.790640498913683043e-01
3.487828449679783449e-01 1.024628244027335100e+00
6.977569804995811253e-01 1.523562575931074914e+00
2.220746225885778802e-01 1.332139749203743229e+00
3.699690686712961973e-01 5.344031692336929096e-01
5.764718261278589662e-01 1.186854769597543990e+00
6.309981074013126801e-01 1.581314996107779036e+00
5.665920700882001171e-01 1.588152306569477812e+00
2.056961362695596818e-01 1.049942035508150795e+00
2.460878853695210866e-01 1.251286592781782891e+00
3.589028763646459064e-01 1.209025355525518153e+00
2.861316093967343210e-01 5.185343448332360161e-01
2.421192641542989632e-01 6.539582813620895552e-01
6.336597298156552149e-01 9.028727557453699593e-01
2.601272843070812080e-01 7.758963569946577543e-01
5.842381079802021482e-01 9.871200621074573966e-01
4.764283280825798994e-01 1.158288672030906019e+00
3.168117566807200358e-01 1.116603593916946746e+00
2.687064192692906195e-01 1.278356937175189056e+00
3.518783344508771282e-01 6.157497534988765064e-01
6.586489347279309570e-01 1.106202884715247414e+00
2.323126204131750194e-01 1.412775602716813683e+00
6.602137441375113269e-01 1.318964870726504923e+00
4.220968273394251069e-01 1.547604088305510661e+00
4.805521135688252676e-01 1.229308404589584791e+00
3.304478153402323759e-01 1.512825332619056384e+00
3.947073296971457257e-01 1.222250515410166827e+00
5.978314781063263084e-01 5.427374495203065585e-01
5.571328948907092737e-01 8.035194773867961882e-01
2.019318078933113325e-01 6.049394093346387447e-01
6.387172425576387313e-01 1.171097856510798341e+00
6.156655763729742548e-01 1.429566180302446199e+00
2.478650416792462785e-01 1.490944958887949090e+00
6.958549734059956693e-01 1.162130927885857146e+00
5.627888653003051411e-01 5.081745567709673450e-01
5.191210142698486907e-01 1.347242850552103022e+00
2.558861536092671973e-01 1.052619229024625902e+00
6.265274633872314203e-01 5.585071619064688742e-01
3.615122550606570950e-01 1.574350484235549130e+00
5.971275859905382788e-01 1.535830873529017593e+00
4.947715634497640291e-01 6.810762569096344698e-01
5.262643823955005518e-01 1.592248553183862825e+00
4.446408670299984989e-01 1.455063842998514101e+00
5.368214201557794940e-01 9.414460408403679814e-01
4.491930374701659234e-01 8.397331731187821502e-01
6.730435445130502625e-01 1.565525421846689857e+00
5.134607392657004610e-01 9.487456994054959125e-01
3.442061747818730977e-01 8.948309889286787389e-01
5.419188181143599348e-01 1.407380228796021981e+00
3.632450803748008550e-01 7.044996809906460822e-01
4.843407732220955109e-01 5.518791873418308347e-01
5.080749380824718386e-01 5.966700664441527691e-01
4.635638362021854419e-01 1.114226263624426894e+00
3.882971584939018950e-01 1.287073121607969384e+00
6.761253385318685138e-01 7.006039775170220807e-01
6.196060854403808715e-01 1.042319455580573484e+00
5.921552985157039206e-01 8.506905528382626702e-01
6.657732938394653743e-01 7.914420784844141687e-01
2.802104695876383444e-01 9.913024260078004968e-01
3.329033216116616956e-01 7.709162668708042787e-01
4.788402601357879540e-01 1.384003704232210197e+00
6.629893359288474564e-01 9.381960726061886469e-01
4.905788890235866506e-01 8.278486571528158589e-01
2.358156557734511216e-01 7.106238990571799308e-01
2.189385107193728697e-01 9.543570916998722620e-01
3.858614790607933775e-01 1.169470479571732113e+00
3.079842583037501469e-01 1.281561452241252397e+00
4.744700827996520820e-01 7.555052042232981435e-01
3.732669127151029831e-01 9.760975659968711415e-01
2.954236088748696809e-01 1.595711251006129094e+00
6.009026442362874754e-01 1.241617914154046876e+00
5.691285028098251875e-01 5.788044843985840071e-01
5.302761311267948363e-01 1.099220738315476398e+00
4.652937819124207119e-01 9.277455692453320246e-01
4.250475260877308314e-01 1.004887400304030898e+00
4.888581465935062931e-01 1.016436393930131077e+00
2.909897256049290837e-01 9.138576106350053685e-01
3.415903149832045238e-01 8.126159334950149304e-01
5.279572366328491029e-01 5.146077815484576545e-01
3.828774566925322032e-01 5.766166009349114052e-01
6.709926318600694106e-01 1.065611267130948558e+00
6.886021770469485936e-01 9.572808319768673080e-01
6.831036247209568701e-01 7.377282580727394512e-01
4.360579740296585127e-01 8.600617378307715555e-01
5.005369506274071068e-01 1.521475367048421345e+00
6.362848349863590158e-01 6.441842447559297247e-01
2.156424037420521245e-01 6.833148741450865149e-01
3.293472515807113199e-01 7.247808386318713714e-01
4.874141339675979734e-01 1.440704973680569712e+00
5.235557426338671716e-01 6.550732584659391122e-01
5.882351825409199986e-01 1.073847979605080383e+00
3.196581975945981258e-01 1.540275278759551947e+00
4.023202393487766981e-01 1.391160422427852428e+00
6.938586003198529140e-01 5.713368906378393230e-01
6.677966000426374116e-01 1.352642972773358210e+00
4.194283746139833013e-01 6.230273488371604884e-01
3.144897209914442882e-01 1.030624718204370183e+00
6.135844372963059623e-01 6.043528269734026459e-01
4.277100492123269149e-01 7.461552283807320052e-01
4.074425357776744749e-01 1.055770364727114385e+00
4.402291795047854062e-01 5.929950201299720725e-01
2.086929495577378446e-01 8.725584654949497532e-01
4.379785343304766765e-01 7.923980469854089437e-01
5.335184646241242223e-01 1.022139857037857702e+00
5.809352506731817467e-01 7.190023710370887500e-01
4.089390049209690181e-01 1.125486893684433776e+00
2.141815178943546061e-01 1.571807175680562940e+00
3.766436617761854677e-01 7.340532477523942223e-01
3.250840386509374902e-01 1.129929263062353417e+00
5.946924307526142428e-01 1.037852167341366538e+00
2.828090502239443693e-01 1.458243988948694003e+00
4.243754739865632786e-01 1.372822676382434715e+00
